test,elevator_id,line,parent_station,Station (for Betsy),children_ids_served,elevator_type,escalator_direction,facility_name,alternate_elevator_ids,alternate_service_long_text,Entering System Categorization,Exiting System Categorization,What station to EXIT at,Short Text,Questions/Notes,Is direction important?,Is the line/mode important?,secondary_alternate_service_text,elevator_name,alternate_service_short_text,facility_lat,facility_lon
23,814,R,place-alfcl,Alewife,70061;Alewife-01;Alewife-02,Elevator,,"Main lobby to street, parking garage",815,Please use the nearby Alewife Elevator 815.,1 - Nearby,1 - Nearby,,N/A,,,,,ALEWIFE - Main Lobby to Parking Garage,Alewife Elevator 814 (lobby to parking garage) is not working. Use adjacent Alewife Elevator 815 (lobby to parking garage).,42.395791,-71.141323
24,815,R,place-alfcl,Alewife,70061;Alewife-01;Alewife-02,Elevator,,"Main lobby to street, parking garage",814,Please use the nearby Alewife Elevator 814.,1 - Nearby,1 - Nearby,,N/A,,,,,ALEWIFE - Main Lobby to Parking Garage,Alewife Elevator 815 (lobby to parking garage) is not working. Use adjacent Alewife Elevator 814 (lobby to parking garage).,42.395815,-71.141239
11,813,R,place-alfcl,Alewife,70061;Alewife-01;Alewife-02,Elevator,,Platform to main lobby,961,"To exit, use Elevator 961 located at the opposite end of the platform. To board, travel east down the Alewife Linear Path to the Russell Field entrance, and use Elevator 961.",2A - Platform,2A - Platform,,Accessible route available,,,,,ALEWIFE - Platform to Main Lobby,Alewife Elevator 813 (platform to lobby) is not working. Use Alewife Elevator 961 (platform to Russell Field lobby).,42.396122,-71.141487
21,961,R,place-alfcl,Alewife,70061;Alewife-01;Alewife-02;door-alfcl-russell,Elevator,,"Platform to Russell Field, Rindge Avenue lobby",813,"To exit, use Elevator 813 located at the opposite end of the platform to access the main lobby. To board, travel west down the Alewife Linear Path to the main station entrance and use Elevator 813.",2A - Platform,2A - Platform,,Accessible route available,,,,,ALEWIFE - Platform to Russell Field/Rindge Ave,Alewife Elevator 961 (platform to Russell Field lobby) is not working. Use Alewife Elevator 813 (platform to lobby).,42.39612,-71.139856
30,879,R,place-andrw,Andrew,70083;door-andrw-elevator,Elevator,,Ashmont/Braintree platform to lobby,"880, 872","To exit, exit the train at JFK/UMass, then take an Alewife-bound train to Andrew and use Andrew Elevator 880. To board, use Andrew Elevator 880 to access the Alewife platform. Take an Alewife-bound train to Broadway, transfer to an Ashmont/Braintree-bound train.",3A - Backtrack,3A - Backtrack,JFK/UMass,,,,,,ANDREW - Ashmont/Braintree Bound Platform to Lobby,Andrew Elevator 879 (Ashmont/Braintree-bound platform to lobby) is not working. See www.mbta.comfor alt service.,,
31,872,R,place-andrw,Andrew,70084;70083;door-andrw-elevator,Elevator,,Lobby to street,"868, 867","A shuttle bus will be available to transport customers between Andrew and Broadway. To exit at Andrew, exit the train at Broadway and find station personnel or use a station call box to request the shuttle bus to Andrew. To board the Red Line, find station personnel or use a station call box to request the shuttle bus to Broadway.",3B - Shuttle Bus,3B - Shuttle Bus,Broadway,,,,,,ANDREW - Lobby to Street,Andrew Elevator 872 (lobby to street) is not working. See www.mbta.com for alt service.,,
32,880,R,place-andrw,Andrew,70084;door-andrw-elevator,Elevator,,Alewife platform to lobby,"879, 872","To exit, exit the train at Broadway, then take an Ashmont or Braintree-bound train to Andrew and use Andrew Elevator 879. To board, use Andrew Elevator 879 to access the Ashmont/Braintree platform. Take an Ashmont or Braintree-bound train to JFK/UMass, transfer to an Alewife-bound train.",3A - Backtrack,3A - Backtrack,Broadway,,,,,,ANDREW - Alewife Bound Platform to Lobby,Andrew Elevator 880 (Alewife-bound platform to lobby) is not working. See www.mbta.com.,,
60,955,B,place-aport,Airport,door-aport-buses;door-aport-bremen,Elevator,,Bremen Street lobby to unpaid pedestrian bridge,"932, 931","To access the Wonderland platform or Airport busway from the Bremen St lobby, use Airport Elevator 932 located on the Bowdoin platform. To access the Bowdoin platform or Bremen St lobby from the busway lobby, use Airport Elevator 931 located on the Wonderland platform. See station personnel or use a station call box to gain entry at the faregate.",2 - Accessible route available,2 - Accessible route available,,,,YES,,,AIRPORT - Bremen St Park to Overpass,Airport Elevator 955 (Bremen Street Park to overpass) is not working. See www.mbta.com for alt service.,,
52,931,B,place-aport,Airport,70048,Elevator,,Wonderland platform to paid pedestrian bridge,"956, 955","To access the Bowdoin platform or Bremen St lobby from the Wonderland platform, use Airport Elevator 956 located in the unpaid section of the busway lobby. To access the Wonderland platform or Airport busway from the Bowdoin platform, use Airport Elevator 955 located in the unpaid section of the Bremen St lobby.",2 - Accessible route available,2 - Accessible route available,,,,YES,,,AIRPORT - Wonderland - bound platform to mezzanine,Airport Elevator 931 (Wonderland-bound platform to mezzanine) is not working. See www.mbta.com for alt service.,,
53,932,B,place-aport,Airport,70047,Elevator,,Bowdoin platform to paid pedestrian bridge,"955, 956","To access the Wonderland platform or Airport busway from the Bowdoin platform, use Airport Elevator 955 located in the unpaid section of the Bremen St lobby. To access the Bowdoin platform or Bremen St lobby from the Wonderland platform, use Airport Elevator 956 located in the unpaid section of the busway lobby.",2 - Accessible route available,2 - Accessible route available,,,,YES,,,AIRPORT - Bowdoin - bound platform to Mezzanine,Airport Elevator 932 (Bowdoin-bound platform to mezzanine) is not working. See www.mbta.com for alt service.,,
57,956,B,place-aport,Airport,door-aport-buses;door-aport-bremen,Elevator,,Busway lobby to unpaid pedestrian bridge,"931, 932","To access the Bowdoin platform or Bremen St lobby from the busway lobby, use Airport Elevator 931 located on the Wonderland platform. To access the Wonderland platform or Airport busway from the Bremen St lobby, use Airport Elevator 932 located on the Bowdoin platform. See station personnel or use a station call box to gain entry at the faregate.",2 - Accessible route available,2 - Accessible route available,,,,YES,,,AIRPORT - Athletic Fields to Overpass,Airport Elevator 955 (Athletic Field to overpass) is not working. See www.mbta.comfor alt service.,,
42,913,B,place-aqucl,Aquarium,70044;door-aqucl-mcksouth,Elevator,,Wonderland platform to State Street lobby,"924, 925","To exit, use Aquarium Elevator 924 located at the opposite end of the platform to access the Atlantic Ave lobby. To board, travel west along State St towards Long Wharf, then cross the Rose Kennedy Greenway.  Continue to the Aquarium Atlantic Ave entrance and use Aquarium Elevator 924 located on the rear side of the station headhouse.",2A - Platform,2A - Platform,,,,,,,AQUARIUM - Wonderland Platform to 200 State St Lobby,Aquarium Elevator 913 (Wonderland-bound platform to 200 State Street lobby) is not working. See www.mbta.com for alt service.,,
43,914,B,place-aqucl,Aquarium,70043;door-aqucl-mcksouth,Elevator,,Bowdoin platform to State Street lobby,"923, 925","To exit, use Aquarium Elevator 924 (Wonderland platform) or Aquarium Elevator 923 (Bowdoin platform) located at the opposite end of the platform to access the Atlantic Ave lobby, then use Aquarium Elevator 925 to access Long Wharf.n/To board, travel west along State St towards Long Wharf, then cross the Rose Kennedy Greenway.  Continue to the Aquarium Atlantic Ave entrance and use Aquarium Elevator 925 located on the rear side of the station headhouse.",2D - Daisy chain,2 - Accessible route available,,,,YES,,,AQUARIUM - Bowdoin platform to 200 State St Lobby,Aquarium Elevator 913 (Government Center-bound platform to 200 State Street lobby) is not working. See www.mbta.com for alt service.,,
44,915,B,place-aqucl,Aquarium,70043;70044;door-aqucl-mcksouth,Elevator,,State Street lobby to street,"923, 924, 925","To exit, use Aquarium Elevator 924 (Wonderland platform) or Aquarium Elevator 923 (Bowdoin platform) located at the opposite end of the platform to access the Atlantic Ave lobby, then use Aquarium Elevator 925 to access Long Wharf.n/To board, travel west along State St towards Long Wharf, then cross the Rose Kennedy Greenway.  Continue to the Aquarium Atlantic Ave entrance and use Aquarium Elevator 925 located on the rear side of the station headhouse.",2 - Accessible route available,2D - Daisy chain,,,,,,,AQUARIUM - Street to 200 State St Lobby,Aquarium Elevator 913 (mezzanine to 200 State Street lobby) is not working. See www.mbta.com for alt service.,,
47,923,B,place-aqucl,Aquarium,70043;door-aqucl-atlantic,Elevator,,Bowdoin platform to Atlantic Avenue lobby,"914, 915","To exit, use Aquarium Elevator 914 located at the opposite end of the platform to access the State St lobby. To board, cross the Rose Kennedy Greenway, then continue west along State St to the Aquarium State St entrance and use Aquarium Elevator 915.",2 - Accessible route available,2 - Accessible route available,,,,,,,AQUARIUM - Bowdoin platform to main lobby at Long Wharf,Aquarium Elevator 923 (Government Center-bound platform to main lobby) is not working. Use Aquarium Elevator 914.,,
48,924,B,place-aqucl,Aquarium,70044;door-aqucl-atlantic,Elevator,,Wonderland platform to Atlantic Avenue lobby,"913, 915","To exit, use Aquarium Elevator 913 located at the opposite end of the platform to access the State St lobby. To board, cross the Rose Kennedy Greenway, then continue west along State St to the Aquarium State St entrance and use Aquarium Elevator 915.",2 - Accessible route available,2 - Accessible route available,,,,,,,AQUARIUM - Wonderland Platform to main lobby at Long Wharf,Aquarium Elevator 923 (Wonderland-bound platform to main lobby) is not working. See www.mbta.com for alt service.,,
49,925,B,place-aqucl,Aquarium,70043;70044;door-aqucl-atlanti,Elevator,,Atlantic Avenue lobby to Long Wharf,"913, 914, 915","To exit, use Aquarium Elevator 913 (Wonderland platform) or Aquarium Elevator 914 (Bowdoin platform) located at the opposite end of the platform to access the State St lobby, then use Aquarium Elevator 915 to access the street. To board, cross the Rose Kennedy Greenway, then continue west along State St to the Aquarium State St entrance and use Aquarium Elevator 915.",2 - Accessible route available,2 - Accessible route available,,,,,,,AQUARIUM - Street to main lobby at Long Wharf,Aquarium Elevator 913 (main entrance by Marriot and Aquarium Street) is not working. Use Aquarium Elevator 915 at 200 State Street lobby.,,
63,962,G,place-armnl,Arlington,70157,Elevator,,Copley & West platform to lobby,"963, 812, 823, 976, 977","To exit, exit the train at Copley, then cross Boylston St to the eastbound entrance. Proceed to the eastbound platform, then take an eastbound train to Arlington and use Arlington Elevator 963. See station personnel at the Copley eastbound lobby to gain entry at the faregate. To board, use Arlington Elevator 963 to access the eastbound platform. Take an eastbound train to Park Street, then proceed to the westbound platform and transfer to a westbound train.",3A - Backtrack,3A - Backtrack,Copley,,,,,,ARLINGTON - Outbound Platform to Lobby,Arlington Elevator 962 (outbound platform to lobby) is not working. See www.mbta.com for alt service.,,
64,963,G,place-armnl,Arlington,70156,Elevator,,Park Street & North platform to lobby,"962, 812, 823, 976, 977","To exit, exit the train at Park Steet and proceed to the westbound platform, then take a westbound train to Arlington and use Arlington Elevator 962. To board, use Arlington Elevator 962 to access the westbound platform.  Take a westbound train to Copley, then cross Boylston St to the eastbound platform and transfer to an eastbound train. See station personnel at the Copley eastbound lobby to gain entry at the faregate.",3A - Backtrack,3A - Backtrack,Park Steet,,,,,,ARLINGTON - Park St bound Platform to Lobby,Arlington Elevator 963 (Park Street-bound platform to lobby) is not working. See www.mbta.com for alt service.,,
65,964,G,place-armnl,Arlington,70156;70157;door-armnl-elevator,Elevator,,Lobby to Boylston Street,"976, 977","A shuttle bus will be available to transport customers between Arlington and Copley. To exit, exit the train at Copley and find station personnel or use a station call box to request the shuttle bus to Arlington. To board, find station personnel or use a station call box at Arlington to request the shuttle bus to Copley.",3B - Shuttle Bus,3B - Shuttle Bus,Copley,,,,,,ARLINGTON - Lobby to Street,Arlington Elevator 964 (lobby to street) is not working. See www.mbta.com for alt service.,,
24,968,R,place-asmnl,Ashmont,70094;door-asmnl-peabody,Elevator,,Alewife platform to Peabody Square lobby,969,"To board, travel along the busway to the Mattapan trolley/busway lobby and use Ashmont Elevator 969.",2 - Accessible route available,N/A,,,,,,,ASHMONT - Alewife Bound Platform to Peabody Square Lobby,Ashmont Elevator 968 (Alewife-bound platform to Peabody Square north lobby) is not working. See www.mbta.com for alt service.,,
