Screen ID,Name,Destination Count,Destinations
TPS-103,,8,"Bowdoin, Wonderland, Forest Hills, Oak Grove, Riverside, Union Square, Heath Street, Medford/Tufts"
TPS-129,N/A,10,"Beth Israel (Limited Stops), Andrew (Limited Stops), Kenmore via South Bay Center, Kenmore, Central Square, Assembly, Harbor Point via South Bay Center, Fields Corner, Broadway, Ruggles"
TPS-106,,3,"South Station, Maverick, Woodlawn"
bpl-egleston-V2,BPL Egleston Square,8,"Forest Hills, Oak Grove, Ruggles, Jackson Square via Franklin Field, Jackson Square, Ashmont, Mattapan via Franklin Field, Mattapan"
CR-test,CR Test,22,"Braintree, Ashmont, Alewife, Logan Airport, South Station, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis, Forest Hills, Oak Grove"
PRE-186,PRE-186 Haymarket Green Line Entrance,6,"Oak Grove, Union Square, Medford/Tufts, Forest Hills, Riverside, Heath Street"
MUL-114-V2,MUL-114 Haymarket-Congress St,15,"North Station, Sullivan, Sullivan via Navy Yard, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Salem Depot, Haymarket, Forest Hills, Oak Grove, Riverside, Union Square, Heath Street, Medford/Tufts"
BUS-109,BUS-109 Hynes - Mass Ave @ Newbury St,6,"Nubian, Government Center, Union Square, Boston College, Cleveland Circle, Riverside"
MUL-127,MUL-127 Forest Hills Lower Busway Right,3,"Ashmont, Mattapan, Andrew via South Bay Center"
bpl-chinatown-V2,BPL Chinatown,11,"South Station, Chauncy & Summer, Forest Hills, Oak Grove, Boston College, Government Center, Cleveland Circle, Riverside, Union Square, Heath Street, Medford/Tufts"
Audio-Wellington,MUL-137/138 Wellington Busway Audio,11,"Forest Hills, Oak Grove, Malden, Wellington, Woodland Rd, Elm St, Lebanon Loop, Linden Square, Wonderland, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill"
MUL-124,MUL-124 Ashmont Busway Left,14,"Mattapan, Ashmont, Alewife, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square"
PRE-182,PRE-182 South Station Summer St Headhouse,20,"Alewife, South Station, Braintree, Ashmont, Logan Airport, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis"
MUL-138,MUL-138 Wellington Exterior Busway Right,2,"Linden Square, Wood Island via Market Basket & Admiral's Hill"
PRE-172,PRE-172 Shawmut Single,2,"Alewife, Ashmont"
MUL-147,MUL-147 North Station Haverhill St Stairs,12,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport"
TPS-CTA,CTA Demo Screen,21,"Boston College, Cleveland Circle, Riverside, Braintree, Ashmont, Logan Airport, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis"
TPS-113,,5,"Cleveland Circle, Government Center, Harvard via Allston, Kenmore, Watertown Yard"
bpl-copley-V2,BPL Copley,16,"Boston College, Government Center, Cleveland Circle, Riverside, Union Square, Heath Street, Medford/Tufts, City Point, Copley, Back Bay, Arlington, City Point via South Bay Center, Forest Hills, West Fenway, Brighton via Copley (Express), Watertown via Copley and Newton Corner (Express)"
MUL-125,MUL-125 Ashmont Busway Right,14,"Ashmont, Alewife, Mattapan, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square"
