Screen ID,Destinations,Destination Count
TPS-103,"Bowdoin, Wonderland, Forest Hills, Oak Grove, Riverside, Union Square, Heath Street, Medford/Tufts",8
TPS-129,"Beth Israel (Limited Stops), Andrew (Limited Stops), Kenmore via South Bay Center, Kenmore, Central Square, Assembly, Harbor Point via South Bay Center, Fields Corner, Broadway, Ruggles",10
TPS-106,"South Station, Maverick, Woodlawn",3
bpl-egleston-V2,"Forest Hills, Oak Grove, Ruggles, Jackson Square via Franklin Field, Jackson Square, Ashmont, Mattapan via Franklin Field, Mattapan",8
CR-test,"Braintree, Ashmont, Alewife, Logan Airport, South Station, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis, Forest Hills, Oak Grove",22
PRE-186,"Oak Grove, Union Square, Medford/Tufts, Forest Hills, Riverside, Heath Street",6
MUL-114-V2,"North Station, Sullivan, Sullivan via Navy Yard, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Salem Depot, Haymarket, Forest Hills, Oak Grove, Riverside, Union Square, Heath Street, Medford/Tufts",15
BUS-109,"Nubian, Government Center, Union Square, Boston College, Cleveland Circle, Riverside",6
MUL-127,"Ashmont, Mattapan, Andrew via South Bay Center",3
bpl-chinatown-V2,"South Station, Chauncy & Summer, Forest Hills, Oak Grove, Boston College, Government Center, Cleveland Circle, Riverside, Union Square, Heath Street, Medford/Tufts",11
Audio-Wellington,"Forest Hills, Oak Grove, Malden, Wellington, Woodland Rd, Elm St, Lebanon Loop, Linden Square, Wonderland, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill",11
MUL-124,"Mattapan, Ashmont, Alewife, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square",14
PRE-182,"Alewife, South Station, Braintree, Ashmont, Logan Airport, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis",20
MUL-138,"Linden Square, Wood Island via Market Basket & Admiral's Hill",2
PRE-172,"Alewife, Ashmont",2
MUL-147,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport",12
